web-scraper-order,web-scraper-start-url,Name Sort ascending,Locality,Accessibility
"1681718724-4961","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1200 Woluwe-Saint-Lambert
Rue Saint-Lambert 135","Semi-public"
"1681718724-4962","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1070 Anderlecht
28 Paapsemlaan","Public"
"1681718724-4963","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
1 Anspachlaan","Public"
"1681718724-4964","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1140 Evere
13 Av Jules Bordet","Public"
"1681718724-4965","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1070 Anderlecht
Drève Olympique 15","Semi-public"
"1681718724-4966","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1020 Laeken
Esmond Tollenaerestraat 56","Public"
"1681718724-4967","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1160 Auderghem
Boulevard des Invalides 220","Public"
"1681718724-4968","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1160 Auderghem
Boulevard Du Triomphe 201","Public"
"1681718724-4969","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1190 Vorst
81 ch. De Ruisbroek","Semi-public"
"1681718724-4970","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Loksumstraat 25","Semi-public"
"1681718724-4971","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Broekstraat 31","Semi-public"
"1681718724-4972","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1130 Haren
Raketstraat 50","Semi-public"
"1681718724-4973","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1040 Etterbeek
Place Jean Rey 1","Semi-public"
"1681718724-4974","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1180 Uccle
De Frélaan 206","Semi-public"
"1681718724-4975","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1140 Evere
Avenue Des Olympiades 6","Semi-public"
"1681718724-4976","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Kanselarijstraat 1","Semi-public"
"1681718724-4977","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Nieuwbrug 17","Semi-public"
"1681718724-4978","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1030 Schaerbeek
Chaussée de Louvain 650","Semi-public"
"1681718724-4979","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Tweekerkenstraat 41-43","Semi-public"
"1681718724-4980","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Rue Royale 20 - 30","Public"
"1681718724-4981","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Drève Anna Boch 11","Public"
"1681718724-4982","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1120 Neder-Over-Heembeek
Wimpelbergstraat 101","Semi-public"
"1681718724-4983","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1130 Haren
Sint Stevens Woluwestraat 55","Semi-public"
